Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Miami Dolphins,14,441,5797,875,6.6,20,9,302,330,464,3842,26,11,7.8,185,385,1955,26,5.1,98,83,668,19,44.2,12.8,139.83
2,Dallas Cowboys,14,431,5154,930,5.5,12,4,318,348,504,3523,28,8,6.6,185,393,1631,13,4.2,96,102,872,37,51.4,7.9,146.97
3,San Francisco 49ers,14,425,5636,830,6.8,12,5,314,272,391,3677,29,7,8.8,169,413,1959,23,4.7,121,83,733,24,46.4,7.9,209.96
4,Baltimore Ravens,14,384,5238,901,5.8,16,9,300,271,409,2945,18,7,6.6,142,458,2293,23,5,129,86,817,29,42.5,10,99.76
5,Detroit Lions,14,382,5522,937,5.9,20,10,307,335,499,3549,26,10,6.7,185,410,1973,21,4.8,103,78,736,19,40.3,12.3,112.39
6,Buffalo Bills,14,379,5277,918,5.7,21,7,320,325,490,3425,26,14,6.7,166,409,1852,18,4.5,132,89,746,22,43.3,14,146.5
7,Philadelphia Eagles,14,359,4985,926,5.4,21,9,313,306,465,3189,19,12,6.4,161,428,1796,20,4.2,123,80,661,29,42.9,14.3,100.53
8,Indianapolis Colts,14,344,4754,911,5.2,20,11,267,307,490,3148,17,9,6,151,388,1606,16,4.1,90,83,590,26,36,10.4,19.72
9,Los Angeles Rams,14,327,5001,904,5.5,14,4,287,296,491,3303,21,10,6.4,163,386,1698,13,4.4,92,81,659,32,41.4,8.6,81.2
10,Jacksonville Jaguars,14,319,4788,925,5.2,24,14,277,338,509,3416,18,10,6.3,161,382,1372,15,3.6,83,74,569,33,34.8,14,17.16
11,Kansas City Chiefs,14,319,5023,894,5.6,24,9,304,357,531,3579,26,15,6.5,189,342,1444,8,4.2,91,85,705,24,40.1,15,68.9
12,Cleveland Browns,14,309,4620,1001,4.6,30,12,266,295,525,2888,16,18,5.1,137,436,1732,12,4,103,95,781,26,33,15.7,-98.28
13,New Orleans Saints,14,309,4683,927,5.1,17,7,272,332,504,3238,19,10,6.1,157,394,1445,11,3.7,92,85,780,23,34.4,9.4,23.87
14,Cincinnati Bengals,14,307,4463,855,5.2,12,2,270,352,512,3282,22,10,6,174,305,1181,10,3.9,70,69,564,26,35.5,7.7,38.66
15,Houston Texans,14,306,4952,898,5.5,12,6,273,302,485,3548,22,6,6.7,180,372,1404,9,3.8,69,92,786,24,37.5,7.5,38.98
16,Denver Broncos,14,304,4197,825,5.1,19,11,249,272,410,2619,24,8,5.8,125,375,1578,6,4.2,94,86,640,30,37,11.7,4.42
17,Los Angeles Chargers,14,303,4672,898,5.2,19,11,262,334,514,3332,24,8,6.1,172,350,1340,10,3.8,69,69,643,21,33.8,11.5,13.28
18,Seattle Seahawks,14,300,4521,834,5.4,16,4,261,307,478,3225,18,12,6.3,154,322,1296,10,4,77,101,882,30,36.6,9.2,31.62
19,Green Bay Packers,14,300,4602,856,5.4,16,5,261,305,487,3160,25,11,6.1,168,341,1442,7,4.2,72,94,752,21,36.7,10.2,61.34
20,Tampa Bay Buccaneers,14,296,4409,860,5.1,14,6,251,296,468,3140,24,8,6.3,155,359,1269,7,3.5,66,86,654,30,36,9.3,38.46
21,Minnesota Vikings,14,290,4863,898,5.4,26,14,284,354,519,3483,25,12,6.3,180,344,1380,6,4,71,67,502,33,34.7,17,40.91
22,Chicago Bears,14,287,4451,912,4.9,24,10,265,275,438,2569,17,14,5.4,141,433,1882,11,4.3,110,88,753,14,35.7,14.9,-29.75
23,Washington Commanders,14,281,4667,910,5.1,24,9,279,354,545,3289,21,15,5.4,168,306,1378,11,4.5,84,70,554,27,30.7,14.1,-9.88
24,Las Vegas Raiders,14,265,3988,818,4.9,24,6,232,289,457,2816,16,18,5.7,148,328,1172,10,3.6,61,64,555,23,30.7,16,-40.96
25,Arizona Cardinals,14,259,4288,867,4.9,17,6,258,284,456,2443,12,11,4.9,136,373,1845,15,4.9,95,89,799,27,33.1,10.6,-38.12
26,Atlanta Falcons,14,258,4581,909,5,21,10,274,266,430,2811,13,11,6,151,443,1770,12,4,102,71,618,21,31.3,13.1,-29.7
27,Tennessee Titans,14,257,4112,830,5,18,8,245,250,414,2656,11,10,5.7,131,366,1456,13,4,82,92,741,32,33.3,9.8,6.1
28,Pittsburgh Steelers,14,223,4019,838,4.8,14,5,230,270,435,2479,10,9,5.3,127,372,1540,10,4.1,84,78,703,19,26.7,8.1,-42.63
29,Carolina Panthers,14,206,3793,930,4.1,17,8,253,297,500,2308,11,9,4.2,129,376,1485,5,3.9,93,89,714,31,26.5,11.3,-117.56
30,New York Jets,14,201,3571,837,4.3,28,15,204,289,487,2380,9,13,4.3,131,289,1191,4,4.1,51,97,716,22,24.7,15.7,-165.68
31,New York Giants,14,189,3664,865,4.2,16,7,214,270,411,2110,12,9,4.3,113,378,1554,6,4.1,75,76,612,26,21.3,8.5,-131.82
32,New England Patriots,14,186,3994,853,4.7,22,6,227,298,468,2617,14,16,5.2,131,349,1377,7,3.9,82,80,596,14,20.9,13.5,-116.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
